62,-4.00,-3.14,-7.03,0.17,0.09,1.12,15.41,3.17,-1.06
63,-0.85,0.46,3.55,0.18,0.11,1.12,15.41,3.46,-0.48
64,-2.88,-1.01,1.17,0.17,0.09,1.14,16.29,3.17,-0.77
65,-2.06,2.02,-9.93,0.11,0.10,1.09,15.11,2.59,-1.06
66,0.18,0.90,1.95,0.16,0.10,1.08,15.99,2.88,-0.77
67,-3.01,-0.48,-0.64,0.14,0.08,1.12,16.29,2.59,-0.77
68,-2.23,-0.76,8.40,0.17,0.08,1.13,15.70,2.59,-1.06
69,-1.45,0.18,4.59,0.16,0.09,1.11,15.99,2.29,-0.48
70,-1.08,-0.43,1.18,0.15,0.09,1.12,15.99,2.29,-0.77
71,-4.91,1.12,10.98,0.18,0.10,1.13,15.11,2.29,-0.77
72,3.11,1.82,0.36,0.16,0.09,1.08,15.11,3.17,0.11
73,-5.25,-1.48,0.82,0.10,0.08,1.09,15.41,2.00,0.11
74,-5.29,0.77,-2.81,0.16,0.05,1.08,15.11,2.00,0.99
75,-15.58,14.33,1.82,0.15,0.12,1.19,13.06,2.59,2.45
76,-250.00,-250.00,-250.00,0.71,-0.31,0.82,15.70,-2.39,-3.11
77,31.66,-40.07,60.97,0.48,-0.72,0.78,20.68,1.41,-4.29
78,23.97,112.01,249.99,0.61,-0.56,-0.07,25.66,10.79,-13.07
79,37.14,62.15,107.51,0.48,-0.52,0.09,32.11,-14.11,-20.11
80,26.64,84.32,-72.87,1.28,-0.29,0.13,22.44,-27.88,-23.91
81,-108.80,-4.88,25.95,1.11,0.09,0.13,10.72,-25.54,-25.09
82,-2.04,0.92,2.04,1.53,0.15,-0.05,10.72,-24.07,-24.21
83,-2.06,0.39,2.11,1.53,0.15,-0.05,10.13,-24.07,-24.21
84,-2.13,0.49,1.94,1.52,0.16,-0.04,9.84,-24.95,-25.09
85,-1.97,0.69,2.07,1.53,0.15,-0.05,11.01,-23.78,-24.21
86,-1.97,1.24,1.99,1.55,0.15,-0.00,10.43,-24.37,-24.50
87,-2.14,0.40,2.13,1.53,0.15,-0.04,11.01,-24.07,-24.50
88,-1.91,0.69,1.97,1.52,0.15,-0.05,10.13,-24.07,-23.91
89,-2.10,0.95,2.14,1.53,0.15,-0.03,10.13,-23.78,-24.21
90,-2.07,0.58,2.05,1.53,0.15,-0.05,10.72,-24.66,-24.79
91,-2.11,0.38,2.01,1.53,0.14,-0.04,10.43,-24.66,-24.50
92,-2.07,0.46,1.94,1.53,0.15,-0.04,11.30,-24.66,-24.50
93,-2.12,0.43,2.02,1.52,0.15,-0.05,10.13,-24.66,-24.50
